"State/UT/All-India","Sector","Fractile.class.of.MPCE","1","2","3","4","5","6","7","8","9","10+"
"Goa","Urban","40-50%",6.4,0,16.6,45.9,9.2,21.8,0,0,"0","-"
"Goa","Urban","50-60%",3,10.1,37.3,24.5,23,0,0,2,"0","-"
"Goa","Urban","60-70%",18.1,1.6,23.3,44.8,5.4,1.9,0,2.6,"2.4","-"
"Goa","Urban","70-80%",17.6,15.3,22.6,36,7,0,1.5,0,"0","-"
"Goa","Urban","80-90%",21,4.4,24.1,44.5,2.2,0,0,3.8,"0","-"
"Goa","Urban","90-95%",37.3,9.8,27.9,22.5,2.4,0,0,0,"0","-"
"Goa","Urban","95-100%",31.6,30.6,17,9.4,11.5,0,0,0,"0","-"
"Gujarat","Rural","0-5%",0,2.6,3.7,7.1,13.7,21.4,11.9,13.3,"9.5","16.6"
"Gujarat","Rural","5-10%",0,4.2,1.9,14,14,29.6,16.4,8.5,"4.7","6.8"
"Gujarat","Rural","10-20%",0.8,2.6,6.1,13.2,20.3,22.2,14.8,8.3,"4.1","7.5"
"Gujarat","Rural","20-30%",0.5,4.9,6.1,16.4,24.1,18.9,14.1,6.6,"3.3","5.1"
"Gujarat","Rural","30-40%",0.8,4.4,6.4,17.3,23.4,22.3,14.2,6.3,"1.1","3.8"
"Gujarat","Rural","40-50%",1.4,10.1,9.1,20,24.9,15.9,7.2,6.2,"3","2"
"Gujarat","Rural","50-60%",1.4,7.6,11.7,21.2,25,17.5,6.3,4.5,"1","3.9"
"Gujarat","Rural","60-70%",2.2,9.1,12.9,24,19.9,16.3,7,3.4,"2.8","2.4"
"Gujarat","Rural","70-80%",7.2,10,12.3,25.8,21.2,14.7,4.3,1.8,"1.3","1.3"
"Gujarat","Rural","80-90%",6.5,17.5,22.1,23.6,14.6,7.8,3.4,2.2,"1.1","1.1"
"Gujarat","Rural","90-95%",8.1,17.9,21.7,23.7,15.6,8.2,2.2,1.2,"0.3","1.2"
"Gujarat","Rural","95-100%",22,25,18.2,17.6,9.8,5,0.8,0.9,"0.5","0.2"
"Gujarat","Urban","0-5%",1.5,2,2.9,13.4,18.9,24.2,16,11.6,"2.5","7"
"Gujarat","Urban","5-10%",0.5,1.2,7.2,18.2,23.4,21.3,10.1,8.4,"1.7","8.2"
"Gujarat","Urban","10-20%",2.1,4.6,8.1,21.6,27.6,17.5,7.6,5.7,"1.8","3.3"
"Gujarat","Urban","20-30%",5.3,5,12.6,20.7,25.3,14.3,7.5,3.7,"2.1","3.6"
